text,label
"Merhaba Berna hanım , aknetrent kullanırken kahverengi ben alıyor musunuz iğne ucu kadar küçük kahverengi .",Dermatoloji
Merhaba. Doktorum bana imex krem verdi fakat eczacı durumex krem verdi. İkisi de aynı mıdır acaba?,Dermatoloji
Merhabalar benim sorum kasik bolgemde tuyleri aldiktan sonra benek benek sivilce gibi puturlu oluyor neyapabilirim bir krem onerirmisiniz,Dermatoloji
Randevu almak için bir iletişim numarası rica edebilir miyim ?,Dermatoloji
Merhaba hocam ben buz lazer epilasyona gidiyorum. Bu süreçte expigment kullanabilir miyim?,Dermatoloji
Merhabalar.ben sizden kök hücre ile ilgili bilgi almak isterim.cilde uygulanan kök hücreyi hastanenizde uyguluyormusunuz?,Dermatoloji
Merhaba hocam azelderm krem kullaniorum ancak yuzume lazer yapicam zarari olurmu lazer yapmamin ara vermem gerekirmi,Dermatoloji
Merhaba size sorum olucak yardımcı olursanız sevinirim dudak dolgusu ve büyütme ne kadar ve kalıcılığı kaç ay acaba?,Dermatoloji
Merhabalar yüzümde gül hastalığı var yüzümdeki güneş lekeleri için kimyasal cilt bakımı yaptırsam sıkıntı yaşamıyım.,Dermatoloji
"Merhaba hocam benim boynumda, koltuk altimda ve genital bolgemde ksrarma var bunu nas cozebilirim soda ve limonla yikiyorum ama gecmiyor?",Dermatoloji
"Hello, is it possible to get rid of a small wart on my foot. what is the price? my phone number *** *** ** br, Paulina Kostrzycka",Dermatoloji
Damla hocam merhaba. Hirsutizm ile ilgileniyor musunuz?.,Dermatoloji
Merhaba hocam ben 20 yasindayim ve boynumda kararma var ve kendimi bildim bileli varr neyle yikasam cikmiyor acaba tedavisi varmidir?,Dermatoloji
Hocam iyi günler bacagimla kaşığımin arasında çatlak var bunlar kremle değilde lazerl veya kriyo terapiyle tedavi yapabilirmisniz,Dermatoloji
Merhaba folik asit takviyesi akneye sebep olur mu? Olursa ne yapmak gerekir?,Dermatoloji
Merhabalar benım sıyah noktam yuzumdencok olduğu ıcın doktora gıttım bana aknetrent verdı acaba bu ilaç sıyah noktayı götürür mü,Dermatoloji
